Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R3,17,Control,9,5,25/06/2022,larva,9,21,91.5,9DOL
R3,23,Control,9,5,25/06/2022,larva,12,24,91.5,9DOL
R2,13,Control,13,9,07/02/2022,larva,7,40,91.47,13DOL
R1,23,Large,13,9,31/10/2021,larva,5,53,91.4,13DOL
R3,13,Control,9,5,25/06/2022,larva,9,21,91.4,9DOL
R3,76,Large,9,5,29/06/2022,larva,13,25,91.4,9DOL
R2,19,Control,13,9,07/02/2022,larva,7,42,91.38,13DOL
R2,1,Large,12,8,06/02/2022,larva,8,39,91.37,12DOL
R3,19,Control,10,6,26/06/2022,larva,11,28,91.1,10DOL
R3,27,Large,10,6,30/06/2022,larva,13,30,91.1,10DOL
R2,9,Control,9,5,03/02/2022,larva,7,18,91.1,9DOL
R1,3,Large,8,4,26/10/2021,larva,4,22,91.1,8DOL
R2,13,Control,10,6,04/02/2022,larva,7,24,91.05,10DOL
R3,9,Control,14,10,30/07/2022,larva,11,48,91,14DOL
R2,5,Large,13,9,07/02/2022,larva,8,44,90.98,13DOL
R2,12,Control,10,6,04/02/2022,larva,7,22,90.93,10DOL
R2,16,Large,14,10,08/02/2022,larva,8,50,90.91,14DOL
R1,21,Control,9,5,27/10/2021,larva,3,27,90.6,9DOL
R3,10,Control,9,5,25/06/2022,larva,11,23,90.6,9DOL
R3,45,Large,9,5,29/06/2022,larva,13,25,90.5,9DOL
R3,5,Control,11,7,27/06/2022,larva,10,32,90.4,11DOL
R1,23,Large,10,6,28/10/2021,larva,6,36,90.4,10DOL
R3,11,Control,10,6,26/06/2022,larva,11,28,90.4,10DOL
R2,8,Control,9,5,03/02/2022,larva,7,18,90.4,9DOL
R3,17,Control,9,5,25/06/2022,larva,11,23,90.4,9DOL
R2,14,Large,13,9,07/02/2022,larva,8,43,90.23,13DOL
R3,25,Control,13,9,29/06/2022,larva,10,42,90.1,13DOL
R1,21,Large,7,3,25/10/2021,larva,5,17,90.1,7DOL
R2,1,Control,12,8,06/02/2022,larva,7,35,90.04,12DOL
